City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
328,Lewiston,US,267.43,few clouds,44.1003,-70.2148,Hilton Garden Inn Auburn Riverwatch
329,Urusha,RU,262.73,overcast clouds,54.05,122.9,Dom Otdykha Lokomotivnykh Brigad
333,Havoysund,NO,267.28,light snow,70.9963,24.6622,Arctic View Glamping & Restaurant
334,Krasnoselkup,RU,262.37,overcast clouds,65.7,82.4667,Krasnosel'kupnefteprodukt
335,Fort Nelson,CA,263.92,light snow,58.8053,-122.7002,The Fort Nelson Hotel
339,Kushnarenkovo,RU,264.36,overcast clouds,55.105,55.3508,Gostinitsa Dobryy Den'
340,Asau,RO,273.68,scattered clouds,46.4333,26.4,Casa Mika Ciobanus
341,Te Anau,NZ,285.79,overcast clouds,-45.4167,167.7167,Kingsgate Hotel Te Anau
345,Muravlenko,RU,258.88,overcast clouds,63.7898,74.523,Hostel Rus Muravlenko
346,Ocampo,MX,284.9,clear sky,21.65,-101.5,Hotel Estancia del Vaquero
347,Lompoc,US,287.66,overcast clouds,34.6391,-120.4579,"Holiday Inn Express Lompoc, an IHG Hotel"
348,Tuatapere,NZ,286.38,overcast clouds,-46.1333,167.6833,Ron and Tony's Bed & Breakfast
353,Talnakh,RU,254.93,light snow,69.4865,88.3972,Talnakh Hotel
354,Praxedis Guerrero,MX,289.9,overcast clouds,31.3667,-106.0167,Congregación placitas de Otero
357,Turayf,SA,281.29,dust,31.6725,38.6637,Turaif
360,Tromso,NO,266.16,scattered clouds,69.6496,18.957,"Radisson Blu Hotel, Tromsø"
361,Annaka,JP,287.22,clear sky,36.3167,138.9,THE RAYSUM
363,Arlit,NE,287.49,few clouds,18.7369,7.3853,Case de Passage De la Prefecture
364,Kharp,RU,257.22,overcast clouds,66.8014,65.8081,"Hotel ""Sob"""
365,Rio Gallegos,AR,286.18,clear sky,-51.6226,-69.2181,Hotel Santa Cruz
366,Bud,US,270.7,scattered clouds,39.446999999999996,-86.1758,Ted McQuinn Trust
368,Oktyabrskoye,RU,277.23,broken clouds,43.0645,44.7417,Prolesok Mini-hotel
369,Katsuura,JP,287.65,broken clouds,35.1333,140.3,Katsuura Hotel Mikazuki
370,Fairbanks,US,261.13,light snow,64.8378,-147.7164,Westmark Fairbanks Hotel & Conference Center
371,Tieling,CN,279.22,overcast clouds,42.2931,123.8414,Tieling 99 Yuejia Business Guest House
372,San Quintin,MX,288.0,few clouds,30.4833,-115.95,Don Eddie's Landing
373,Antofagasta,CL,289.75,broken clouds,-23.65,-70.4,"Holiday Inn Express Antofagasta, an IHG Hotel"
374,Aswan,EG,287.2,few clouds,24.0934,32.907,Nuba Nile
376,Guthrie,US,285.2,overcast clouds,35.8789,-97.4253,"Holiday Inn Express & Suites Guthrie North Edmond, an IHG Hotel"
380,Ancud,CL,288.89,clear sky,-41.8697,-73.8203,Hotel Arena Gruesa
381,Guerrero Negro,MX,288.95,overcast clouds,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
383,Beatrice,US,281.42,broken clouds,40.2681,-96.74700000000001,Victorian Inn Beatrice
386,Roma,US,271.55,light snow,43.2128,-75.4557,Wingate By Wyndham Rome
388,Chama,CH,276.51,mist,47.1821,8.4636,City Garden Hotel
394,Zuwarah,LY,284.6,clear sky,32.9312,12.082,يوسف
395,Winnemucca,US,277.65,overcast clouds,40.973,-117.7357,Winners Inn Casino
397,Fortuna,US,282.96,overcast clouds,40.5982,-124.1573,Super 8 by Wyndham Fortuna
398,Anadyr,RU,253.43,light snow,64.75,177.4833,Отке17 — посуточная аренда жилья для командированных
402,Podgorica,ME,285.87,overcast clouds,42.4411,19.2636,Hotel Podgorica
403,Coihaique,CL,286.12,clear sky,-45.5752,-72.0662,Diego De Almagro Coyhaique
404,Ilulissat,GL,265.5,overcast clouds,69.2167,-51.1,Hotel Arctic
407,Teguise,ES,288.27,few clouds,29.0605,-13.564,B&B La Casona de Nazaret
409,Severo-Yeniseyskiy,RU,251.43,overcast clouds,60.3725,93.0408,Aktolik
411,Tabas,IR,288.76,overcast clouds,33.5959,56.9244,شرکت معماری مهراز شایگان آراد
413,Langxiang,CN,274.95,broken clouds,46.95,128.8833,Pearl Hotel
415,Kargil,IN,265.17,few clouds,34.5667,76.1,Caravan Sarai
417,Tarko-Sale,RU,262.89,overcast clouds,64.9225,77.785,Yubileynaya
418,Diego De Almagro,CL,288.8,overcast clouds,-26.3667,-70.05,hotel luna del desierto
421,Kaspiysk,RU,281.25,scattered clouds,42.8816,47.6392,Alima Hostel
422,Viedma,AR,286.23,overcast clouds,-40.8135,-62.9967,Hotel Cristal
426,Juneau,US,275.49,snow,58.3019,-134.4197,"Baranof Downtown, Bw Signature Collection"
427,Karpathos,GR,289.13,few clouds,35.507,27.2132,Alex
428,Strezhevoy,RU,256.14,overcast clouds,60.7333,77.5889,Sibiryachka
429,North Bend,US,279.22,overcast clouds,43.4065,-124.2243,Red Lion Hotel Coos Bay
430,Vestmannaeyjar,IS,276.43,overcast clouds,63.4427,-20.2734,Glamping & Camping
434,Sistranda,NO,274.21,overcast clouds,63.7256,8.834,Hotell Frøya
440,Verkhnevilyuysk,RU,243.17,overcast clouds,63.4453,120.3167,Gostinitsa Mila
444,Helena,US,272.7,few clouds,46.5927,-112.0361,"Holiday Inn Express & Suites Helena, an IHG Hotel"
446,Bourges,FR,273.92,scattered clouds,47.25,2.4167,Thomas
447,Hay River,CA,253.14,scattered clouds,60.8156,-115.7999,Ptarmigan Inn
448,Preobrazheniye,RU,279.1,clear sky,42.9019,133.9064,Campsite Orlan
452,Camacha,PT,289.57,broken clouds,33.0833,-16.3333,Hotel Porto Santo & Spa
453,Sorochinsk,RU,269.26,overcast clouds,52.4338,53.1583,Hotel Skazka
454,Ballinasloe,IE,276.9,overcast clouds,53.3275,-8.2194,Gullane's Hotel
455,Jumla,NP,286.39,clear sky,29.2747,82.1838,Royal Garden Hotel
457,San Roque,ES,281.84,clear sky,36.2107,-5.3842,Hotel Guadacorte Park
458,Pevek,RU,247.65,overcast clouds,69.7008,170.3133,Severnoye Zoloto
459,Mjolby,SE,273.21,overcast clouds,58.326,15.1237,Mjölby Stadshotell AB
462,Faya,SA,288.41,clear sky,18.3851,42.4509,املاك خالد الشعشوع
464,Westport,US,275.24,overcast clouds,41.1415,-73.3579,Norwalk Inn
465,La Palma,US,289.01,mist,33.8464,-118.0467,La Quinta Inn & Suites by Wyndham Buena Park
467,Curico,CL,287.37,clear sky,-34.9833,-71.2333,Hotel Raices
474,Ucluelet,CA,276.53,overcast clouds,48.9329,-125.5528,Black Rock Oceanfront Resort
475,Syasstroy,RU,256.55,scattered clouds,60.1367,32.5691,"Syas', Gostinitsa"
482,Leningradskiy,RU,250.69,overcast clouds,69.3833,178.4167,Gostinitsa
484,Eureka,US,283.11,overcast clouds,40.8021,-124.1637,Eureka Inn Trademark By Wyndham
488,Jalu,LY,284.68,clear sky,29.0331,21.5482,صاحبة الفخامة
489,Lethbridge,CA,268.51,light snow,49.7,-112.8186,Days Inn by Wyndham Lethbridge
491,Tobol,KZ,261.75,overcast clouds,52.6844,62.5794,Tobol Gostinitsa
495,Furstenfeld,AT,274.4,light snow,47.05,16.0833,JUFA Hotel Fürstenfeld
496,Malibu,US,289.02,few clouds,34.005,-118.8101,Malibu Country Inn
499,Bonavista,CA,273.21,overcast clouds,48.6499,-53.1147,Abbott's Bed & Breakfast
504,Coquimbo,CL,288.02,few clouds,-29.9533,-71.3436,Punto de encuentro
506,Dunedin,NZ,285.26,overcast clouds,-45.8742,170.5036,Scenic Hotel Southern Cross
507,General Roca,AR,285.3,overcast clouds,-39.0333,-67.5833,Hotel y Casino del Río General Roca
516,Farmington,US,278.58,overcast clouds,36.7281,-108.2187,Courtyard by Marriott Farmington
523,Sosva,RU,267.03,overcast clouds,59.1766,61.8558,Gostinitsa
524,Mehamn,NO,267.25,few clouds,71.0357,27.8492,Mehamn Arctic Hotel AS
525,Hami,CN,274.17,overcast clouds,42.8,93.45,Laoyutang Resort
527,Macusani,PE,276.74,overcast clouds,-14.0833,-70.4333,"Hospedaje ""Arca de Noe"""
531,Beringovskiy,RU,254.65,overcast clouds,63.05,179.3167,Beringgorski
535,Port Hardy,CA,276.9,light rain,50.6996,-127.4199,Airport Inn
537,Ajdabiya,LY,284.57,clear sky,30.7554,20.2263,Almadina Hotel
540,Hernani,ES,283.93,light rain,43.2662,-1.9762,Ibiltze
542,Karpogory,RU,256.11,overcast clouds,64.0019,44.4451,Hotel Pinezhskaya Sloboda
543,Porkhov,RU,250.09,scattered clouds,57.765,29.5561,Hotel Parking
546,Ust-Kulom,RU,262.12,overcast clouds,61.6864,53.6902,Ip Napalkov Vasiliy Dmitriyevich
548,Mwaro,BI,289.94,light rain,-3.5,29.6667,Lycée Mwaro
549,Linxia,CN,277.59,clear sky,35.6003,103.2064,GreenTree Inn Linxia Autonomous Prefecture Linxia Oxford River Avenue Express Hotel
550,Nome,US,254.91,broken clouds,64.5011,-165.4064,Dredge 7 Inn
551,Derzhavinsk,KZ,260.73,broken clouds,51.1,66.3167,Ooo.khim Baza
556,San Vicente,AR,286.27,clear sky,-26.6167,-54.1333,Complejo Turístico Farelluk
557,Rosarito,MX,289.31,clear sky,32.3333,-117.0333,Hotel Festival Plaza Rosarito
562,Kushmurun,KZ,261.02,overcast clouds,52.4503,64.6311,Gostinitsa Pri Depo
564,Green Valley,US,287.64,clear sky,31.8543,-110.9937,Best Western Green Valley Inn
567,Pangnirtung,CA,253.8,overcast clouds,66.1451,-65.7125,Kilabuk Lodge
568,Naryan-Mar,RU,255.12,broken clouds,67.6713,53.086999999999996,Hostel Agat
569,Zilina,SK,270.47,overcast clouds,49.1667,19.1667,Penzión u Komu
570,Hovd,MN,266.6,overcast clouds,48.0056,91.6419,Hotel Khovd
571,Sussex,US,273.48,clear sky,41.1834,-74.6663,Top O Hill Farm - McDougals
574,Talcahuano,CL,288.54,clear sky,-36.7167,-73.1167,departamento comodo
575,Letka,RU,267.61,light snow,59.6011,49.4232,"Gostinitsa Letka, Shinomontazh"
577,Nerchinskiy Zavod,RU,264.42,overcast clouds,51.3088,119.61,Gostinitsa
579,Springdale,US,282.1,clear sky,36.1867,-94.1288,Springdale Inn
583,Petropavlovsk-Kamchatskiy,RU,269.48,few clouds,53.0452,158.6483,The Hotel Petropavlovsky
586,Coacoatzintla,MX,288.54,few clouds,19.6333,-96.9333,Hotel Eiffel
588,Peniche,PT,286.27,broken clouds,39.3558,-9.3811,Hotel Star inn Peniche
590,Matagami,CA,255.48,overcast clouds,49.7502,-77.6328,Hôtel Matagami
592,Comodoro Rivadavia,AR,281.07,clear sky,-45.8667,-67.5,Austral Hotel
595,Dashitou,CN,275.19,overcast clouds,43.3067,128.5114,大林宾馆
597,Ust-Uda,RU,260.41,broken clouds,54.1742,103.0304,Gostinitsa Ust'-Uda Shans
599,Rachitova,RO,273.17,scattered clouds,45.6,22.75,Casa De Sub Deal
604,Anzio,IT,284.03,overcast clouds,41.4853,12.6179,Beauty Hotel & SPA
605,Tazovskiy,RU,259.15,overcast clouds,67.4667,78.7,TazHostel
607,Shangqiu,CN,287.01,clear sky,34.45,115.65,Thank Inn Chain Hotel henan shangqiu railway station ticket shop
610,Tire,TR,279.56,few clouds,38.0888,27.7351,Tire Belediyesi Gülcüoğlu Konakları
