City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Description
81,Clinton,US,2021-12-09 05:51:29,42.587,-82.9199,273.09,78,75,0.45,broken clouds
82,Muyezerskiy,RU,2021-12-09 05:51:30,63.9333,31.65,258.24,98,88,1.65,overcast clouds
83,Galveston,US,2021-12-09 05:51:31,29.3669,-94.9669,294.13,91,90,0.45,overcast clouds
84,Smithers,CA,2021-12-09 05:50:33,54.7804,-127.1743,264.33,92,90,2.06,overcast clouds
85,Korla,CN,2021-12-09 05:50:12,41.7597,86.1469,274.35,39,100,1.25,overcast clouds
86,Qasigiannguit,GL,2021-12-09 05:51:35,68.8193,-51.1922,263.13,67,100,3.35,overcast clouds
87,Kaeo,NZ,2021-12-09 05:51:36,-35.1,173.7833,296.66,70,91,2.19,overcast clouds
88,Pacific Grove,US,2021-12-09 05:51:37,36.6177,-121.9166,285.97,92,90,0.45,overcast clouds
89,Chokurdakh,RU,2021-12-09 05:51:39,70.6333,147.9167,228.3,100,97,1.49,overcast clouds
90,Geraldton,AU,2021-12-09 05:51:41,-28.7667,114.6,298.38,65,90,7.2,overcast clouds
91,Bathsheba,BB,2021-12-09 05:51:42,13.2167,-59.5167,299.49,78,40,8.23,scattered clouds
92,Sorong,ID,2021-12-09 05:51:44,-0.8833,131.25,301.94,75,100,4.28,overcast clouds
93,Cabra,ES,2021-12-09 05:51:45,37.4725,-4.4421,282.81,88,35,1.15,scattered clouds
94,New Norfolk,AU,2021-12-09 05:51:46,-42.7826,147.0587,290.79,46,11,0.89,few clouds
95,San Carlos Del Zulia,VE,2021-12-09 05:51:47,9.0,-71.9135,296.04,89,72,1.48,broken clouds
96,Akyab,MM,2021-12-09 05:51:49,20.15,92.9,301.85,60,5,2.63,clear sky
97,Adoni,IN,2021-12-09 05:51:50,15.6333,77.2833,299.08,63,67,4.53,broken clouds
98,Los Llanos De Aridane,ES,2021-12-09 05:51:51,28.6585,-17.9182,289.89,77,75,4.02,mist
99,Nikolskoye,RU,2021-12-09 05:51:53,59.7035,30.7861,262.09,100,90,1.08,overcast clouds
100,Klaksvik,FO,2021-12-09 05:51:54,62.2266,-6.589,278.66,85,98,10.02,overcast clouds
101,Bambous Virieux,MU,2021-12-09 05:51:56,-20.3428,57.7575,302.16,65,40,5.14,scattered clouds
102,Rocha,UY,2021-12-09 05:51:57,-34.4833,-54.3333,286.54,95,76,2.83,broken clouds
103,Marsa Matruh,EG,2021-12-09 05:51:58,31.3525,27.2453,288.03,74,0,4.17,clear sky
104,Cottonwood,US,2021-12-09 05:47:02,34.7392,-112.0099,285.3,55,58,0.45,broken clouds
